x;y;tempo;invert
9911;9911;0.42100;1
9921;9921;0.34400;1
9931;9931;0.34400;1
9941;9941;0.34100;1
9951;9951;0.47000;1
9961;9961;0.38000;1
9971;9971;0.37600;1
9981;9981;0.34100;1
9991;9991;0.38000;1
10001;10001;0.36000;1
10011;10011;0.35200;1
10021;10021;0.35200;1
10031;10031;0.36100;1
10041;10041;0.35200;1
10051;10051;0.36000;1
10061;10061;0.35200;1
10071;10071;0.35700;1
10081;10081;0.36400;1
10091;10091;0.36900;1
10101;10101;0.35300;1
10111;10111;0.35600;1
10121;10121;0.35600;1
10131;10131;0.36000;1
10141;10141;0.37200;1
10151;10151;0.35600;1
10161;10161;0.35700;1
10171;10171;0.36800;1
10181;10181;0.36100;1
10191;10191;0.41700;1
10201;10201;0.41700;1
10211;10211;0.36400;1
10221;10221;0.36500;1
10231;10231;0.38800;1
10241;10241;0.38800;1
10251;10251;0.36800;1
10261;10261;0.36400;1
10271;10271;0.37300;1
10281;10281;0.45200;1
10291;10291;0.38100;1
10301;10301;0.36800;1
10311;10311;0.36900;1
10321;10321;0.36800;1
10331;10331;0.47700;1
10341;10341;0.37600;1
10351;10351;0.57900;1
10361;10361;0.37200;1
10371;10371;0.37200;1
10381;10381;0.39200;1
10391;10391;0.37300;1
10401;10401;0.38100;1
10411;10411;0.37200;1
10421;10421;0.50800;1
10431;10431;0.42400;1
10441;10441;0.39200;1
10451;10451;0.42400;1
10461;10461;0.41200;1
10471;10471;0.38500;1
10481;10481;0.38800;1
10491;10491;0.44800;1
10501;10501;0.38400;1
10511;10511;0.41200;1
10521;10521;0.38000;1
10531;10531;0.38500;1
10541;10541;0.38800;1
10551;10551;0.38400;1
10561;10561;0.39600;1
10571;10571;0.39300;1
10581;10581;0.41700;1
10591;10591;0.38900;1
10601;10601;0.50900;1
10611;10611;0.39200;1
10621;10621;0.42400;1
10631;10631;0.39600;1
10641;10641;0.44800;1
10651;10651;0.51700;1
10661;10661;0.39300;1
10671;10671;0.40500;1
10681;10681;0.44400;1
10691;10691;0.39700;1
10701;10701;0.40000;1
10711;10711;0.40500;1
10721;10721;0.50600;1
10731;10731;0.41700;1
10741;10741;0.40400;1
10751;10751;0.39600;1
10761;10761;0.40500;1
10771;10771;0.40000;1
10781;10781;0.40500;1
10791;10791;0.41200;1
10801;10801;0.40500;1
10811;10811;0.40500;1
10821;10821;0.40800;1
10831;10831;0.41600;1
10841;10841;0.53700;1
10851;10851;0.40900;1
