x;y;tempo;inverso
8921;8921; 1.32;1
8931;8931; 1.24;1
8941;8941; 1.19;1
8951;8951; 1.36;1
8961;8961; 1.21;1
8971;8971; 1.22;1
8981;8981; 1.19;1
8991;8991; 1.27;1
9001;9001; 1.22;1
9011;9011; 1.26;1
9021;9021; 1.29;1
9031;9031; 1.29;1
9041;9041; 3.16;1
9051;9051; 1.52;1
9061;9061;14.88;1
9071;9071; 6.47;1
9081;9081; 1.87;1
9091;9091; 2.36;1
9101;9101; 7.91;1
9111;9111; 2.95;1
9121;9121; 2.14;1
9131;9131; 1.79;1
9141;9141; 1.71;1
9151;9151; 3.11;1
9161;9161; 1.58;1
9171;9171; 1.65;1
9181;9181; 1.48;1
9191;9191; 1.43;1
9201;9201; 1.48;1
9211;9211; 1.77;1
9221;9221; 1.48;1
9231;9231; 1.67;1
9241;9241; 1.55;1
9251;9251; 1.75;1
9261;9261; 1.63;1
9271;9271; 1.95;1
9281;9281; 1.59;1
9291;9291; 1.82;1
9301;9301; 1.63;1
9311;9311; 1.91;1
9321;9321; 1.66;1
9331;9331; 1.92;1
9341;9341; 1.50;1
9351;9351; 2.75;1
9361;9361; 1.61;1
9371;9371; 2.10;1
9381;9381; 1.42;1
9391;9391; 1.97;1
9401;9401; 1.53;1
9411;9411; 1.78;1
9421;9421; 1.55;1
9431;9431; 2.96;1
9441;9441; 2.02;1
9451;9451; 1.86;1
9461;9461; 2.58;1
9471;9471; 1.81;1
9481;9481; 1.79;1
9491;9491; 3.14;1
9501;9501; 1.88;1
9511;9511; 1.87;1
9521;9521; 2.01;1
9531;9531; 1.56;1
9541;9541; 2.48;1
9551;9551; 1.68;1
9561;9561; 1.48;1
9571;9571; 3.18;1
9581;9581; 1.73;1
9591;9591; 1.77;1
9601;9601; 1.64;1
9611;9611; 2.31;1
9621;9621; 1.75;1
9631;9631; 1.64;1
9641;9641; 2.33;1
9651;9651; 1.62;1
9661;9661; 2.07;1
9671;9671; 1.67;1
9681;9681; 1.70;1
9691;9691; 1.66;1
9701;9701; 2.37;1
9711;9711; 1.77;1
9721;9721; 1.72;1
9731;9731; 2.63;1
9741;9741; 1.73;1
9751;9751; 1.64;1
9761;9761; 2.42;1
9771;9771; 1.69;1
9781;9781; 2.51;1
9791;9791; 1.75;1
9801;9801; 1.77;1
9811;9811; 1.82;1
9821;9821; 1.72;1
9831;9831; 2.31;1
9841;9841; 1.80;1
9851;9851; 1.78;1
9861;9861; 1.73;1
9871;9871; 1.80;1
9881;9881; 1.73;1
9891;9891; 1.73;1
9901;9901; 1.83;1
9911;9911; 1.76;1
9921;9921; 1.89;1
9931;9931; 1.77;1
9941;9941; 1.92;1
9951;9951; 1.80;1
9961;9961; 1.73;1
9971;9971; 1.83;1
9981;9981; 1.80;1
9991;9991; 1.89;1
10001;10001; 1.82;1
10011;10011; 1.99;1
10021;10021; 1.91;1
10031;10031; 1.97;1
10041;10041; 1.88;1
10051;10051; 1.89;1
10061;10061; 2.03;1
10071;10071; 1.87;1
10081;10081; 1.92;1
10091;10091; 1.91;1
10101;10101; 1.92;1
10111;10111; 1.88;1
10121;10121; 1.99;1
10131;10131; 1.85;1
10141;10141; 1.96;1
10151;10151; 1.83;1
10161;10161; 2.02;1
10171;10171; 1.89;1
10181;10181; 1.92;1
10191;10191; 2.08;1
10201;10201; 1.89;1
10211;10211; 2.01;1
10221;10221; 1.88;1
10231;10231; 1.96;1
10241;10241; 1.92;1
10251;10251; 1.97;1
10261;10261; 1.96;1
10271;10271; 2.02;1
10281;10281; 1.92;1
10291;10291; 1.92;1
10301;10301; 3.18;1
10311;10311; 3.80;1
10321;10321; 2.36;1
10331;10331; 5.32;1
10341;10341; 3.16;1
10351;10351; 2.00;1
10361;10361; 1.99;1
10371;10371; 1.96;1
10381;10381; 2.03;1
10391;10391; 2.05;1
10401;10401; 1.98;1
10411;10411; 2.08;1
10421;10421; 2.02;1
10431;10431; 2.07;1
10441;10441; 2.60;1
10451;10451; 2.55;1
10461;10461; 2.11;1
10471;10471; 2.32;1
10481;10481; 2.13;1
10491;10491; 2.03;1
10501;10501; 2.23;1
10511;10511; 2.10;1
10521;10521; 2.25;1
10531;10531; 2.09;1
10541;10541; 2.17;1
10551;10551; 2.70;1
10561;10561; 2.48;1
10571;10571; 2.13;1
10581;10581; 2.15;1
10591;10591; 2.17;1
10601;10601; 2.27;1
10611;10611; 2.24;1
10621;10621; 2.22;1
10631;10631; 2.24;1
10641;10641; 2.15;1
10651;10651; 2.30;1
10661;10661; 2.33;1
10671;10671; 2.35;1
10681;10681; 2.17;1
10691;10691; 2.33;1
10701;10701; 2.30;1
10711;10711; 2.26;1
10721;10721; 2.23;1
10731;10731; 2.31;1
10741;10741; 2.38;1
10751;10751; 2.85;1
10761;10761; 2.44;1
10771;10771; 2.25;1
10781;10781; 2.30;1
10791;10791; 2.33;1
10801;10801; 4.23;1
10811;10811; 2.59;1
10821;10821; 2.73;1
10831;10831; 2.19;1
10841;10841; 2.07;1
